"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: minPrice","Param: minQuantity","Param: size"
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex","avgt",1,5,78.857742,12.553588,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:CPI","avgt",1,1,0.363943,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:IPC","avgt",1,1,2.747683,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-dcache-load-misses","avgt",1,1,14541.022596,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-dcache-loads","avgt",1,1,227462.427746,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-dcache-stores","avgt",1,1,109857.716181,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:L1-icache-load-misses","avgt",1,1,137.873251,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-load-misses","avgt",1,1,7.660674,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-loads","avgt",1,1,1059.191474,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-store-misses","avgt",1,1,548.598979,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:LLC-stores","avgt",1,1,832.815106,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:branch-misses","avgt",1,1,246.712585,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:branches","avgt",1,1,33903.586072,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:cycles","avgt",1,1,204585.327879,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:dTLB-load-misses","avgt",1,1,8.368313,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:dTLB-loads","avgt",1,1,225631.242757,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:dTLB-store-misses","avgt",1,1,5.305268,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:dTLB-stores","avgt",1,1,109345.073094,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:iTLB-load-misses","avgt",1,1,0.974405,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:iTLB-loads","avgt",1,1,2.711926,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.binarySearchThenIndex:instructions","avgt",1,1,562135.672906,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index","avgt",1,5,669.787700,14.585674,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:CPI","avgt",1,1,0.469934,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:IPC","avgt",1,1,2.127956,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:L1-dcache-load-misses","avgt",1,1,23560.595742,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:L1-dcache-loads","avgt",1,1,672413.475495,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:L1-dcache-stores","avgt",1,1,380883.925683,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:L1-icache-load-misses","avgt",1,1,1472.502946,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:LLC-load-misses","avgt",1,1,56.337708,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:LLC-loads","avgt",1,1,1549.664033,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:LLC-store-misses","avgt",1,1,804.589047,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:LLC-stores","avgt",1,1,1414.656401,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:branch-misses","avgt",1,1,20725.950054,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:branches","avgt",1,1,542038.192957,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:cycles","avgt",1,1,1757438.384842,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:dTLB-load-misses","avgt",1,1,30.109802,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:dTLB-loads","avgt",1,1,671981.249063,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:dTLB-store-misses","avgt",1,1,8.388056,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:dTLB-stores","avgt",1,1,380235.861275,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:iTLB-load-misses","avgt",1,1,3.942019,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:iTLB-loads","avgt",1,1,5.932512,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.index:instructions","avgt",1,1,3739751.995179,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1","avgt",1,5,9767.993016,54.912033,"us/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:CPI","avgt",1,1,1.117488,NaN,"clks/insn",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:IPC","avgt",1,1,0.894865,NaN,"insns/clk",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:L1-dcache-load-misses","avgt",1,1,576695.417476,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:L1-dcache-loads","avgt",1,1,10695275.867961,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:L1-dcache-stores","avgt",1,1,36423.425243,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:L1-icache-load-misses","avgt",1,1,4020.295146,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:LLC-load-misses","avgt",1,1,20617.046602,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:LLC-loads","avgt",1,1,24424.462136,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:LLC-store-misses","avgt",1,1,291.390291,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:LLC-stores","avgt",1,1,588.656311,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:branch-misses","avgt",1,1,511253.112621,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:branches","avgt",1,1,4605942.695146,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:cycles","avgt",1,1,25730485.345631,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:dTLB-load-misses","avgt",1,1,9139.110680,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:dTLB-loads","avgt",1,1,10719354.953398,NaN,"#/op",100,1,1000000
"io.github.richardstartin.range.CountTransactionsBenchmark.stream1:dTLB-store-misses","avgt",1,1,30.172816,NaN,"#/op",100,1,1000000
